region_province,cause_category,cause_subcategory,total_incidents,total_damage
강원도,전기적 요인,절연열화에 의한 단락,6,491
강원도,전기적 요인,과부하/과전류,5,6173874
강원도,전기적 요인,미확인단락,3,102369533
강원도,전기적 요인,기타(전기적요인),2,33864857
강원도,전기적 요인,"누전,지락",1,4655
강원도,전기적 요인,접촉불량에 의한 단락,1,1
강원도,전기적 요인,반단선,1,8
경기도,전기적 요인,절연열화에 의한 단락,30,701049219
경기도,전기적 요인,미확인단락,23,434941791
경기도,전기적 요인,트래킹에 의한 단락,15,72206257
경기도,전기적 요인,과부하/과전류,11,45771201
경기도,전기적 요인,접촉불량에 의한 단락,10,22319310
경기도,전기적 요인,기타(전기적요인),10,6484
경기도,전기적 요인,"압착,손상에 의한 단락",8,64777002
경기도,전기적 요인,"누전,지락",8,79565932
경기도,전기적 요인,층간단락,5,1398
경기도,전기적 요인,반단선,4,5222
경상남도,전기적 요인,절연열화에 의한 단락,18,599509389
경상남도,전기적 요인,접촉불량에 의한 단락,10,213561655
경상남도,전기적 요인,트래킹에 의한 단락,7,643
경상남도,전기적 요인,미확인단락,5,203968
경상남도,전기적 요인,"압착,손상에 의한 단락",4,184830738
경상남도,전기적 요인,과부하/과전류,2,590
경상남도,전기적 요인,기타(전기적요인),2,120
경상남도,전기적 요인,"누전,지락",1,19838416
경상남도,전기적 요인,층간단락,1,41
경상북도,전기적 요인,미확인단락,17,1200904314
경상북도,전기적 요인,절연열화에 의한 단락,7,103580201
경상북도,전기적 요인,과부하/과전류,6,5213
경상북도,전기적 요인,접촉불량에 의한 단락,5,24663750
경상북도,전기적 요인,트래킹에 의한 단락,2,1069
경상북도,전기적 요인,기타(전기적요인),2,573
경상북도,전기적 요인,"누전,지락",1,55
경상북도,전기적 요인,"압착,손상에 의한 단락",1,860
광주광역시,전기적 요인,미확인단락,5,3282
광주광역시,전기적 요인,절연열화에 의한 단락,3,1165
광주광역시,전기적 요인,접촉불량에 의한 단락,3,717276
광주광역시,전기적 요인,"압착,손상에 의한 단락",2,118
광주광역시,전기적 요인,과부하/과전류,1,30
